Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2024-03-19,DAL,5718,BOS,PIT,A,A4,Main,D86,false,,2024-03-19T19:25,2024-03-19T19:18,2024-03-19T19:35,2024-03-19T19:35,2024-03-19T20:47,2024-03-19T20:55,2024-03-19T21:25,2024-03-19T20:58,Embraer 175,N237JQ,,,,,,,6d58f01d-3c31-44eb-861d-419e31053b19,a8765091-d043-44b1-936c-d217bb519e56,813ec62f-c303-44d9-a041-a4434d6fd652,55394d7e-5085-44dc-8919-ae570e6305b3,,36728d5b-40cd-46ec-93ba-8822376b565d
2024-03-24,DAL,5718,BOS,PIT,A,A6,Main,D88,false,,2024-03-24T19:25,2024-03-24T19:14,2024-03-24T19:35,2024-03-24T19:33,2024-03-24T20:41,2024-03-24T20:56,2024-03-24T21:25,2024-03-24T20:59,Embraer 175,N242JQ,,,,,,,6c30d32e-d9b7-4487-82b1-5a71858c72b4,a8765091-d043-44b1-936c-d217bb519e56,813ec62f-c303-44d9-a041-a4434d6fd652,55394d7e-5085-44dc-8919-ae570e6305b3,,36728d5b-40cd-46ec-93ba-8822376b565d
2024-04-10,DAL,5671,BOS,PIT,A,A5,Main,D86,false,,2024-04-10T20:50,2024-04-10T20:48,2024-04-10T21:00,2024-04-10T21:13,2024-04-10T22:17,2024-04-10T22:40,2024-04-10T22:47,2024-04-10T22:45,Embraer 175 E2,N237JQ,,,,,,,bcfa3ca8-84a9-4ea7-b93b-b28cbdfb52d8,a8765091-d043-44b1-936c-d217bb519e56,813ec62f-c303-44d9-a041-a4434d6fd652,55394d7e-5085-44dc-8919-ae570e6305b3,,81f7772e-0fe5-4114-aa70-91bbcfd84f3e
2024-04-16,DAL,4978,PIT,MSP,Main,D80,1,A9,false,,2024-04-16T12:30,2024-04-16T12:21,2024-04-16T12:40,2024-04-16T12:41,2024-04-16T13:24,2024-04-16T13:32,2024-04-16T13:49,2024-04-16T13:36,"Bombardier CRJ900 ",N147PQ,,,,,,,2d185a29-d25c-4d37-b2df-b6d2a667a36b,a8765091-d043-44b1-936c-d217bb519e56,55394d7e-5085-44dc-8919-ae570e6305b3,e6471588-a4ac-43ed-85de-adb08f1c3410,,8a4bd3f7-3aac-4e32-8a52-07e5525b36e3
2024-04-16,DAL,751,MSP,SFO,1,C5,2,C7,false,,2024-04-16T15:35,2024-04-16T16:06,2024-04-16T15:45,2024-04-16T16:25,2024-04-16T17:18,2024-04-16T17:54,2024-04-16T17:45,2024-04-16T18:01,Boeing 737-900ER,N825DN,,,,,,,4dc5b59f-c9c5-49de-8fe8-4776bd14d8db,a8765091-d043-44b1-936c-d217bb519e56,e6471588-a4ac-43ed-85de-adb08f1c3410,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,,24012541-435d-4a27-af8a-4791336f1965
2024-04-27,DAL,1101,SFO,ATL,2,C7,S,B14,false,,2024-04-27T22:45,2024-04-27T22:49,2024-04-27T22:55,2024-04-27T23:13,2024-04-28T06:18,2024-04-28T06:26,2024-04-28T06:26,2024-04-28T06:33,Boeing 737-900ER,N911DQ,,,,,,,c749ec48-9296-490d-95e0-c910d78dfe4a,a8765091-d043-44b1-936c-d217bb519e56,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,6f0c1d11-cfef-4b33-b462-90379270f593,,24012541-435d-4a27-af8a-4791336f1965
2024-04-28,DAL,2158,ATL,PIT,S,T3,Main,D76,false,,2024-04-28T08:10,2024-04-28T08:08,2024-04-28T08:20,2024-04-28T08:19,2024-04-28T09:27,2024-04-28T09:35,2024-04-28T09:47,2024-04-28T09:41,Boeing 737-900ER,N939DZ,,,,,,,60546787-474a-4513-8095-b8c967f17d67,a8765091-d043-44b1-936c-d217bb519e56,6f0c1d11-cfef-4b33-b462-90379270f593,55394d7e-5085-44dc-8919-ae570e6305b3,,24012541-435d-4a27-af8a-4791336f1965
2024-05-21,DAL,525,JFK,SFO,4,B39,2,C5,false,,2024-05-21T11:30,2024-05-21T12:47,2024-05-21T11:40,2024-05-21T13:20,2024-05-21T14:34,2024-05-21T16:06,2024-05-21T14:54,2024-05-21T16:11,Boeing 757-200,N717TW,,,,,,,480b9c74-427a-48c9-8113-0e26bd2352eb,a8765091-d043-44b1-936c-d217bb519e56,fc332185-4dde-4791-b449-0de5e83e47b9,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,,1c0606be-5187-4c87-ae79-bda1f856393e
2024-05-24,UAL,893,SFO,ICN,I,G6,1,30,false,,2024-05-24T10:35,2024-05-24T10:31,2024-05-24T10:45,2024-05-24T10:56,2024-05-25T14:31,2024-05-25T14:45,2024-05-25T15:00,2024-05-25T14:51,Boeing 787-9,N19951,,,,,,,f1a6032c-9a7e-4859-b4df-9173a6de92ff,b57b4c86-4724-48f1-80be-d7de4036004a,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2024-07-05,ASV,703,ICN,NRT,1,119,1,43,false,,2024-07-05T16:45,2024-07-05T18:40,2024-07-05T16:55,2024-07-05T18:57,2024-07-05T19:05,2024-07-05T20:47,2024-07-05T19:10,2024-07-05T21:00,Airbus A321,HL7212,,,,,,,f7b48c13-a9e4-4fff-99d6-613f2045dd66,68997e99-bf4d-4a7f-8ae9-fe9350399454,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,42cbe764-fc30-49b0-9e72-eca5f6c21767,,5904cdc2-eccf-41fe-8345-e82a51d3269c
